,station_name,station_lat,station_lon,network
136,SCI2,32.9799,-118.546967,CI
137,SCZ,33.995319,-119.634354,CI
138,SCZ2,33.99543,-119.635101,CI
139,SDD,33.552589,-117.661713,CI
140,SDG,32.784,-117.138046,CI
141,SDR,32.735611,-116.942413,CI
142,SES,34.43692,-119.137497,CI
143,SHO,35.899529,-116.275299,CI
144,SLA,35.89095,-117.28332,CI
145,SLH,33.19269,-116.25399,CI
146,SLR,33.833591,-116.797371,CI
147,SMF2,34.02201,-118.44627,CI
148,SMM,35.3142,-119.99581,CI
149,SMS,34.014381,-118.456169,CI
150,SNCC,33.247871,-119.524368,CI
151,SNO,34.035149,-116.807777,CI
152,SOF,33.37055,-117.5574,CI
153,SOT,34.416,-118.448997,CI
154,SPF,34.05933,-118.646141,CI
155,SRN,33.82854,-117.78938,CI
156,SRT,35.692348,-117.750511,CI
157,STC,34.30302,-119.18676,CI
158,STG,33.664001,-117.768562,CI
159,STS,33.790329,-118.198776,CI
160,SVD,34.106468,-117.098221,CI
161,SYP,34.52781,-119.97832,CI
162,TA2,34.38203,-117.678223,CI
163,TEH,35.2913,-118.42079,CI
164,TFT,35.14592,-119.41946,CI
165,THM,33.65066,-116.07734,CI
166,THX,33.634949,-116.164017,CI
167,TOR,33.57526,-116.22584,CI
168,TOV,34.156071,-118.820389,CI
169,TOW2,35.808559,-117.764877,CI
170,TPO,34.87883,-118.22864,CI
171,USC,34.019192,-118.286308,CI
172,VCS,34.48372,-118.11781,CI
173,VES,35.840889,-119.084686,CI
174,VTV,34.56065,-117.329597,CI
175,WAS2,35.7377,-118.55743,CI
176,WBS,35.53664,-118.14035,CI
177,WER,35.060532,-119.027107,CI
178,WGR,34.510849,-119.274071,CI
179,WHF,35.695129,-118.35183,CI
180,WLT,34.00948,-117.950768,CI
181,WOR,35.695629,-118.242462,CI
182,WRC2,35.947899,-117.650383,CI
183,WSS,34.1717,-118.649712,CI
184,WTT,33.948689,-118.25547,CI
185,WTT2,33.94867,-118.25539,CI
186,WWC,33.940681,-116.40876,CI
